panel,row,column,assets,factors,red,green,blue
1,11,3,650,4,255,206,70
1,11,4,650,5,255,212,71
1,11,5,650,6,253,224,72
1,11,6,650,7,251,227,72
1,11,7,650,8,251,227,72
1,11,8,650,9,251,227,72
1,11,9,650,10,248,229,74
1,11,10,650,11,248,229,74
1,12,0,700,1,58,98,180
1,12,1,700,2,58,167,221
1,12,2,700,3,58,119,191
1,12,3,700,4,255,194,71
1,12,4,700,5,255,205,69
1,12,5,700,6,253,222,69
1,12,6,700,7,251,227,72
1,12,7,700,8,251,225,71
1,12,8,700,9,251,225,71
1,12,9,700,10,251,227,72
1,12,10,700,11,248,229,74
1,13,0,750,1,58,92,176
1,13,1,750,2,57,169,222
1,13,2,750,3,59,124,194
1,13,3,750,4,255,183,72
1,13,4,750,5,255,190,71
1,13,5,750,6,254,219,71
1,13,6,750,7,253,222,69
1,13,7,750,8,253,222,69
1,13,8,750,9,253,222,69
1,13,9,750,10,250,228,71
1,13,10,750,11,248,229,74
1,14,0,800,1,55,87,174
1,14,1,800,2,53,177,227
1,14,2,800,3,61,129,197
1,14,3,800,4,254,183,67
1,14,4,800,5,255,184,71
1,14,5,800,6,255,213,71
1,14,6,800,7,253,222,69
1,14,7,800,8,252,221,70
1,14,8,800,9,252,221,70
1,14,9,800,10,250,229,73
1,14,10,800,11,250,229,73
1,15,0,850,1,54,81,170
1,15,1,850,2,53,184,224
1,15,2,850,3,63,137,202
1,15,3,850,4,241,184,58
1,15,4,850,5,249,183,63
1,15,5,850,6,255,212,71
1,15,6,850,7,254,219,71
1,15,7,850,8,255,218,71
1,15,8,850,9,255,218,71
1,15,9,850,10,251,225,71
1,15,10,850,11,250,229,73
1,16,0,900,1,49,73,167
1,16,1,900,2,52,190,216
1,16,2,900,3,58,163,218
1,16,3,900,4,233,186,56
1,16,4,900,5,233,186,56
1,16,5,900,6,255,209,71
1,16,6,900,7,255,218,71
1,16,7,900,8,255,217,70
1,16,8,900,9,255,218,71
1,16,9,900,10,251,225,71
1,16,10,900,11,250,229,73
1,17,0,950,1,39,50,154
1,17,1,950,2,52,190,213
1,17,2,950,3,56,175,226
1,17,3,950,4,56,171,223
